Timestamp,Ax,Ay,Az,Rx,Ry,Rz
2025-07-11 17:46:16,-1.06,0.08,10.39,-0.02,-0.03,0.03
2025-07-11 17:46:16,-1.04,-0.04,10.39,-0.02,-0.01,0.04
2025-07-11 17:46:16,-1.03,-0.02,10.37,-0.02,-0.01,0.04
2025-07-11 17:46:16,-1.1,0.0,10.34,-0.01,-0.0,0.04
2025-07-11 17:46:16,-1.11,-0.0,10.32,-0.01,-0.0,0.04
2025-07-11 17:46:16,-1.11,0.01,10.33,-0.02,-0.02,0.03
2025-07-11 17:46:16,-1.11,0.01,10.32,-0.02,-0.02,0.03
2025-07-11 17:46:16,-0.96,0.02,10.39,-0.02,-0.03,0.01
2025-07-11 17:46:16,-0.94,0.0,10.38,-0.02,-0.03,0.01
2025-07-11 17:46:16,-0.84,-0.14,10.25,-0.02,-0.02,0.04
2025-07-11 17:46:16,-0.89,-0.12,10.21,-0.02,-0.02,0.05
2025-07-11 17:46:17,-0.94,-0.11,10.21,-0.02,-0.03,0.05
2025-07-11 17:46:17,-0.79,0.21,10.44,0.0,0.05,-0.06
2025-07-11 17:46:17,-0.85,0.2,10.39,0.0,0.05,-0.07
2025-07-11 17:46:17,-0.88,0.02,10.31,0.01,0.08,-0.11
2025-07-11 17:46:17,-0.9,-0.01,10.34,0.01,0.08,-0.11
2025-07-11 17:46:17,-1.05,-0.0,10.41,-0.08,-0.22,0.11
2025-07-11 17:46:17,-1.04,-0.02,10.44,-0.08,-0.21,0.11
2025-07-11 17:46:17,-0.96,-0.07,10.24,-0.0,-0.08,0.19
2025-07-11 17:46:17,-0.94,-0.08,10.25,-0.0,-0.08,0.19
2025-07-11 17:46:17,-0.67,0.09,10.34,0.07,-0.02,0.08
2025-07-11 17:46:17,-0.76,0.1,10.36,0.07,-0.02,0.07
2025-07-11 17:46:17,-0.79,0.11,10.34,0.07,-0.02,0.07
2025-07-11 17:46:17,-1.12,0.49,10.38,0.09,-0.03,-0.08
2025-07-11 17:46:17,-1.16,0.47,10.36,0.09,-0.04,-0.1
2025-07-11 17:46:17,-1.42,0.32,10.3,-0.02,0.1,-0.03
2025-07-11 17:46:17,-1.44,0.31,10.3,-0.02,0.11,-0.03
2025-07-11 17:46:17,-0.92,0.17,10.46,-0.06,-0.01,0.1
2025-07-11 17:46:18,-0.9,0.17,10.45,-0.06,-0.0,0.11
2025-07-11 17:46:18,-0.76,0.09,10.49,-0.04,-0.04,0.16
2025-07-11 17:46:18,-0.71,0.11,10.48,-0.04,-0.03,0.16
2025-07-11 17:46:18,-0.74,0.13,10.49,-0.03,-0.02,0.15
2025-07-11 17:46:18,-1.11,0.31,10.33,0.02,-0.09,-0.03
2025-07-11 17:46:18,-1.1,0.3,10.34,0.02,-0.09,-0.04
2025-07-11 17:46:18,-1.17,0.27,10.47,0.05,-0.02,-0.04
2025-07-11 17:46:18,-1.18,0.27,10.45,0.05,-0.02,-0.04
2025-07-11 17:46:18,-0.93,0.32,10.36,-0.01,-0.12,-0.02
2025-07-11 17:46:18,-0.91,0.28,10.36,-0.02,-0.12,-0.01
2025-07-11 17:46:18,-0.9,0.48,10.31,0.02,-0.05,0.05
2025-07-11 17:46:18,-0.91,0.49,10.32,0.02,-0.05,0.04
2025-07-11 17:46:18,-0.9,0.5,10.33,0.03,-0.05,0.03
2025-07-11 17:46:18,-0.93,0.65,10.3,0.0,-0.06,0.2
2025-07-11 17:46:18,-0.92,0.67,10.31,0.0,-0.05,0.21
2025-07-11 17:46:18,-0.83,0.47,10.32,-0.01,-0.02,0.0
2025-07-11 17:46:18,-0.82,0.45,10.32,-0.01,-0.02,0.0
2025-07-11 17:46:19,-0.89,0.48,10.28,-0.04,-0.06,0.03
2025-07-11 17:46:19,-0.89,0.49,10.27,-0.04,-0.06,0.03
2025-07-11 17:46:19,-0.64,0.31,10.65,-0.13,-0.22,0.01
2025-07-11 17:46:19,-0.6,0.31,10.67,-0.12,-0.19,0.02
2025-07-11 17:46:19,-0.7,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.38,10.33,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.68,0.35,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.66,0.36,10.36,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.68,0.37,10.33,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.68,0.37,10.34,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.37,10.35,-0.02,-0.02,0.03
2025-07-11 17:46:19,-0.69,0.35,10.33,-0.02,-0.02,0.03
2025-07-11 17:46:20,-0.69,0.34,10.34,-0.02,-0.02,0.03
